category,readcode5B,desc
Drug,du3D.,NICORETTE 15mg patches x7
Drug,du3E.,NICORETTE 15mg patches x28
Drug,du3F.,NICOTINE 5mg/16hours patches
Drug,du3G.,NICOTINE 10mg/16hours patches
Drug,du3H.,NICOTINE 15mg/16hours patches
Drug,du3I.,NIQUITIN CQ 2mg original lozenges
Drug,du3J.,NICABATE 7mg patches x14
Drug,du3K.,NICABATE 14mg patches x14
Drug,du3L.,NICABATE 21mg patches x14
Drug,du3M.,NICABATE 7mg patches x7
Drug,du3N.,NICABATE 14mg patches x7
Drug,du3O.,NIQUITIN CQ 7mg/24hours clear patches
Drug,du3P.,NICABATE 21mg patches x7
Drug,du3Q.,NICORETTE 15mg patches x3
Drug,du3R.,NICONIL-11 patches
Drug,du3S.,NICONIL-22 patches
Drug,du3T.,NICOTINE 11mg/24hours patches
Drug,du3U.,NICOTINE 22mg/24hours patches
Drug,du3V.,NICORETTE 2mg mint chewing gum
Drug,du3W.,NICORETTE MINT PLUS 4mg chewing gum
Drug,du3X.,NICOTINE 2mg mint chewing gum
Drug,du3Y.,NICOTINE 4mg mint chewing gum
Drug,du3Z.,NICONIL 22 starter pack
Drug,du3a.,NICORETTE nasal spray
Drug,du3b.,NICOTINE 10mg/mL nasal spray
Drug,du3c.,NICOTINELL ORIGINAL 2mg chewing gum
Drug,du3d.,NICOTINELL MINT 2mg chewing gum
Drug,du3e.,NICOTINE 10mg inhalator starter pack
Drug,du3f.,NICOTINE 10mg inhalator refill pack
Drug,du3g.,NICORETTE 10mg inhalator starter pack
Drug,du3h.,NICORETTE 10mg inhalator refill pack
Drug,du3i.,NICOTINELL ORIGINAL 4mg chewing gum
Drug,du3j.,NICOTINELL MINT 4mg chewing gum
Drug,du3k.,NIQUITIN CQ 7mg/24hours patches
Drug,du3l.,NIQUITIN CQ 14mg/24hours patches
Drug,du3m.,NIQUITIN CQ 21mg/24hours patches
Drug,du3n.,NICOTINE 2mg sublingual tablets
Drug,du3o.,NICORETTE MICROTAB 2mg sublingual tablets
Drug,du3p.,NICOTINE 1mg mint lozenges
Drug,du3q.,NICOTINELL MINT 1mg lozenges
Drug,du3r.,NIQUITIN CQ 14mg/24hours clear patches
Drug,du3s.,NIQUITIN CQ 21mg/24hours clear patches
Drug,du3t.,NICOTINE 2mg fruit chewing gum
Drug,du3u.,NICOTINE 4mg fruit chewing gum
Drug,du3v.,NICOTINE 2mg citrus chewing gum
Drug,du3w.,NICORETTE CITRUS 2mg chewing gum
Drug,du3x.,NICOTINE 1mg lozenges
Drug,du3y.,NICOTINE 2mg lozenges
Drug,du3z.,NICOTINE 4mg lozenges
Drug,du6..,BUPROPION
Drug,du61.,ZYBAN 150mg m/r tablets
Drug,du6z.,BUPROPION HYDROCHLORIDE 150mg m/r tablets
Drug,du7..,NICOTINE 2
Drug,du71.,NIQUITIN CQ 4mg original lozenges
Drug,du72.,NIQUITIN CQ 2mg mint chewing gum
Drug,du73.,NIQUITIN CQ 4mg mint chewing gum
Drug,du74.,NICORETTE 15mg patches x2
Drug,du75.,NICOTINELL 2mg liquorice chewing gum
Drug,du76.,NICOTINELL 4mg liquorice chewing gum
Drug,du77.,NICOTINELL 2mg mint lozenges
Drug,du78.,NIQUITIN CQ 2mg mint lozenges
Drug,du79.,NIQUITIN CQ 4mg mint lozenges
Drug,du7A.,NICORETTE FRESHMINT 2mg chewing gum
Drug,du7B.,NICORETTE FRESHMINT 4mg chewing gum
Drug,du7C.,NICOTINELL CLASSIC 2mg chewing gum
Drug,du7D.,NICOTINELL CLASSIC 4mg chewing gum
Drug,du7E.,NICORETTE FRESHFRUIT 2mg chewing gum
Drug,du7F.,NICORETTE FRESHFRUIT 4mg chewing gum
Drug,du7G.,NICOPATCH 7mg/24hours patches
Drug,du7H.,NICOPATCH 14mg/24hours patches
Drug,du7I.,NICOPATCH 21mg/24hours patches
Drug,du7J.,NICOPASS 1.5mg fresh mint lozenges
Drug,du7K.,NICOPASS 1.5mg liquorice mint lozenges
Drug,du7L.,NIQUITIN PRE-QUIT 4mg mint lozenges
Drug,du7M.,NICORETTE INVISI 10mg patches
Drug,du7N.,NICORETTE INVISI 15mg patches
Drug,du7O.,NICORETTE INVISI 25mg patches
Drug,du7P.,NICORETTE ICY WHITE 2mg chewing gum
Drug,du7Q.,NICORETTE ICY WHITE 4mg chewing gum
Drug,du7R.,NIQUITIN MINIS MINT 1.5mg lozenges
Drug,du7S.,NIQUITIN MINIS MINT 4mg lozenges
Drug,du7T.,NICORETTE MICROTAB LEMON 2mg sublingual tablets
Drug,du7U.,NICORETTE COMBI 15mg patches and 2mg chewing gum
Drug,du7V.,NIQUITIN MINIS 1.5mg cherry lozenges
Drug,du7W.,NIQUITIN MINIS 4mg cherry lozenges
Drug,du7X.,NICORETTE FRESHMINT 2mg lozenges
Drug,du7Y.,NICORETTE QUICKMIST 1mg oromucosal spray
Drug,du7Z.,NICOTINELL ICEMINT 2mg chewing gum
Drug,du7a.,NICOTINELL ICEMINT 4mg chewing gum
Drug,du7b.,NICORETTE 15mg inhalator
Drug,du7c.,NICOTINE 15mg inhalator
Drug,du7d.,NICASSIST 7mg/24hours patches
Drug,du7e.,NICASSIST 14mg/24hours patches
Drug,du7f.,NICASSIST 21mg/24hours patches
Drug,du7g.,NICORETTE COOLS 2mg lozenges
Drug,du7h.,NICORETTE COOLS 4mg lozenges
Drug,du7i.,NIQUITIN PRE-QUIT 21mg/24 hours clear patches
Drug,du7j.,NICORETTE FRUITFUSION 2mg chewing gum
Drug,du7k.,NICORETTE FRUITFUSION 4mg chewing gum
Drug,du7l.,NICORETTE FRUITFUSION 6mg chewing gum
Drug,du7n.,NICOTINE 6mg fruit chewing gum
Drug,du7o.,NICOTINE 4mg icemint chewing gum
Drug,du7p.,NICOTINE 2mg icemint chewing gum
Drug,du7q.,NICOTINE 1mg oromucosal spray
Drug,du7r.,NICOTINE 1.5mg cherry lozenges
Drug,du7s.,NICOTINE 4mg cherry lozenges
Drug,du7t.,NICOTINE 15mg/16hours patches and 2mg chewing gum
Drug,du7u.,NICOTINE 1.5mg lozenges
Drug,du7v.,NICOTINE 25mg/16hours patches
Drug,du7w.,NICOTINE 1.5mg fresh mint lozenges
Drug,du7x.,NICOTINE 1.5mg liquorice mint lozenges
Drug,du7y.,NICOTINE 4mg liquorice chewing gum
Drug,du7z.,NICOTINE 2mg liquorice chewing gum
Drug,du8..,VARENICLINE
Drug,du81.,CHAMPIX 1mg tablets
Drug,du82.,CHAMPIX 500microgram tablets
Drug,du83.,CHAMPIX TREATMENT INITIATION pack
Drug,du8x.,VARENICLINE 500micrograms+1mg tablets
Drug,du8y.,VARENICLINE 500microgram tablets
Drug,du8z.,VARENICLINE 1mg tablets
Drug,duB..,NICOTINE 3
Drug,duB1.,NIQUITIN STRIPS 2.5mg mint oral film
Drug,duB2.,NIQUITIN MINIS 1.5mg orange lozenges
Drug,duB3.,NICOTINELL SUPPORT ICEMINT 2mg chewing gum
Drug,duB4.,NICOTINELL SUPPORT ICEMINT 4mg chewing gum
Drug,duBz.,NICOTINE 2.5mg oral film
